,count,unique,top,freq,mean,std,min,25%,50%,75%,max,null_count
MONTH,1526659.0,,,,201936.28798245057,44.735974503483696,201901.0,201906.0,201910.0,202001.0,202010.0,0
WEEK_NUM,1526659.0,,,,40.76903617638254,23.797981292733013,0.0,23.0,40.0,55.0,91.0,0
actualdpdtolerance_344P,1108481.0,,,,0.07923365384340286,11.206518173217773,0.0,0.0,0.0,0.0,4206.0,418178
amtinstpaidbefduel24m_4187115A,965535.0,,,,55958.3203125,71614.1640625,0.0,7419.2001953125,29758.396484375,76302.9453125,1408010.25,561124
annuity_780A,1526659.0,,,,4039.20654296875,3006.607666015625,80.80000305175781,1967.5999755859375,3151.800048828125,5231.39990234375,106007.0,0
annuitynextmonth_57A,1526655.0,,,,1435.7747802734375,2807.021240234375,0.0,0.0,0.0,2029.4000244140625,87500.0,4
applicationcnt_361L,1526659.0,,,,2.161582960980013e-05,0.008133702911436558,0.0,0.0,0.0,0.0,5.0,0
applications30d_658L,1526659.0,,,,0.13815200328826904,0.4886631369590759,0.0,0.0,0.0,0.0,28.0,0
applicationscnt_1086L,1526659.0,,,,0.42451000213623047,3.128110885620117,0.0,0.0,0.0,0.0,728.0,0
applicationscnt_464L,1526659.0,,,,1.073577642440796,9.715777397155762,0.0,0.0,0.0,0.0,247.0,0
applicationscnt_629L,1526659.0,,,,0.2687129080295563,2.4641993045806885,0.0,0.0,0.0,0.0,90.0,0
applicationscnt_867L,1526659.0,,,,2.8803603649139404,4.346471786499023,0.0,0.0,1.0,4.0,287.0,0
avgdbddpdlast24m_3658932P,913457.0,,,,30.09898567199707,317.68463134765625,-1220.0,-11.0,-5.0,-1.0,4750.0,613202
avgdbddpdlast3m_4187120P,578415.0,,,,29.494338989257812,367.2738952636719,-908.0,-11.0,-4.0,-1.0,4750.0,948244
avgdbdtollast24m_4525197P,553832.0,,,,30.759370803833008,322.4674072265625,-1220.0,-12.0,-5.0,-2.0,4750.0,972827
avgdpdtolclosure24_3658938P,1059484.0,,,,45.80928039550781,318.54058837890625,0.0,0.0,0.0,1.0,4750.0,467175
avginstallast24m_3658937A,901784.0,,,,5401.5869140625,6531.5625,0.0,2528.400146484375,4068.60009765625,6551.80029296875,496148.8125,624875
avglnamtstart24m_4525187A,162509.0,,,,44717.57421875,44844.7890625,0.0,15682.6005859375,28419.400390625,56334.19921875,513520.0,1364150
avgmaxdpdlast9m_3716943P,769653.0,,,,0.7463921904563904,4.796508312225342,0.0,0.0,0.0,0.0,240.0,757006
avgoutstandbalancel6m_4187114A,685478.0,,,,45984.82421875,63993.921875,-7588198.5,8708.66015625,22754.591796875,55429.52734375,1131135.875,841181
avgpmtlast12m_4525200A,499672.0,,,,6403.5732421875,9248.0107421875,0.0,2590.199951171875,4417.60009765625,7521.0,495910.40625,1026987
bankacctype_710L,417030,1,CA,417030,,,,,,,,1109629
cardtype_51L,191691,2,INSTANT,189370,,,,,,,,1334968
clientscnt12m_3712952L,1526659.0,,,,0.03675149381160736,0.7808771729469299,0.0,0.0,0.0,0.0,198.0,0
clientscnt3m_3712950L,1526659.0,,,,0.017775416374206543,0.5261164307594299,0.0,0.0,0.0,0.0,112.0,0
clientscnt6m_3712949L,1526659.0,,,,0.025622617453336716,0.7333208322525024,0.0,0.0,0.0,0.0,175.0,0
clientscnt_100L,1526659.0,,,,0.04934238642454147,0.4324478805065155,0.0,0.0,0.0,0.0,109.0,0
clientscnt_1022L,1526659.0,,,,0.10543611645698547,1.2033740282058716,0.0,0.0,0.0,0.0,266.0,0
clientscnt_1071L,1526659.0,,,,0.03344754874706268,0.18830786645412445,0.0,0.0,0.0,0.0,24.0,0
clientscnt_1130L,1526659.0,,,,0.031251247972249985,0.25115135312080383,0.0,0.0,0.0,0.0,35.0,0
clientscnt_136L,417.0,,,,0.057553958147764206,0.36234647035598755,0.0,0.0,0.0,0.0,4.0,1526242
clientscnt_157L,1526659.0,,,,0.07874777168035507,0.7700826525688171,0.0,0.0,0.0,0.0,390.0,0
clientscnt_257L,1526659.0,,,,0.003032766282558441,0.06167950481176376,0.0,0.0,0.0,0.0,13.0,0
clientscnt_304L,1526659.0,,,,0.07886764407157898,1.292615532875061,0.0,0.0,0.0,0.0,510.0,0
clientscnt_360L,1526659.0,,,,0.0030943385791033506,0.061389025300741196,0.0,0.0,0.0,0.0,15.0,0
clientscnt_493L,1526659.0,,,,0.01577693596482277,1.2935127019882202,0.0,0.0,0.0,0.0,922.0,0
clientscnt_533L,1526659.0,,,,0.07549230009317398,0.2821073830127716,0.0,0.0,0.0,0.0,12.0,0
clientscnt_887L,1526659.0,,,,2.313450574874878,38.361122131347656,0.0,0.0,0.0,0.0,1242.0,0
clientscnt_946L,1526659.0,,,,0.03244994580745697,0.3016757071018219,0.0,0.0,0.0,0.0,72.0,0
